time(s),Force(kN),Acceleration(g)
0.0,0.032,-485.122
4e-05,0.032,-474.166
8e-05,0.032,-500.0
0.00012,0.029,-438.811
0.00016,0.032,-207.759
0.0002,0.035,-4.128
0.00024,0.029,166.743
0.00028,0.032,274.258
0.00032,0.032,292.035
0.00036,0.032,295.102
0.0004,0.032,295.758
0.00044,0.032,295.804
0.00048,0.029,295.682
0.00052,0.032,295.483
0.00056,0.032,295.3
0.0006,0.032,295.132
0.00064,0.032,294.965
0.00068,0.032,294.812
0.00072,0.029,294.675
0.00076,0.032,294.553
0.0008,0.032,293.088
0.00084,0.032,291.379
0.00088,0.029,289.822
0.00092,0.032,288.373
0.00096,0.032,287.106
0.001,0.032,286.358
0.00104,0.029,287.289
0.00108,0.032,292.706
0.00112,0.032,293.606
0.00116,0.032,293.637
0.0012,0.032,293.606
0.00124,0.029,293.561
0.00128,0.032,293.515
0.00132,0.032,293.454
0.00136,0.029,293.408
0.0014,0.029,293.378
0.00144,0.032,293.317
0.00148,0.032,293.271
0.00152,0.032,293.256
0.00156,0.032,293.194
0.0016,0.029,293.164
0.00164,0.032,293.118
0.00168,0.029,293.088
0.00172,0.029,293.057
0.00176,0.032,293.027
0.0018,0.035,292.996
0.00184,0.032,292.981
0.00188,0.032,292.935
0.00192,0.032,292.92
0.00196,0.032,292.874
0.002,0.035,292.844
0.00204,0.032,292.813
0.00208,0.032,292.813
0.00212,0.032,292.798
0.00216,0.032,292.737
0.0022,0.032,292.721
0.00224,0.032,292.706
0.00228,0.032,292.691
0.00232,0.029,292.691
0.00236,0.032,292.63
0.0024,0.032,292.599
0.00244,0.032,-47.356
0.00248,0.029,-399.947
0.00252,0.032,-500.0
0.00256,0.029,-432.143
0.0026,0.032,-200.237
0.00264,0.029,1.961
0.00268,0.032,171.748
0.00272,0.032,274.64
0.00276,0.032,290.951
0.0028,0.194,293.805
0.00284,6.276,196.727
0.00288,13.491,-102.914
0.00292,5.122,-390.333
0.00296,29.375,-478.012
0.003,57.198,-471.191
0.00304,80.752,-500.0
0.00308,84.793,-482.513
0.00312,67.831,-271.511
0.00316,42.904,-58.572
0.0032,19.265,28.344
0.00324,6.148,-79.599
0.00328,-1.076,90.311
0.00332,-2.803,241.726
0.00336,-3.093,45.205
0.0034,-3.072,-31.792
0.00344,-3.005,152.644
0.00348,-3.008,108.988
0.00352,-2.882,-55.596
0.00356,-2.91,126.642
0.0036,-2.882,235.5
0.00364,-2.876,228.542
0.00368,-2.843,132.212
0.00372,-2.861,-16.106
0.00376,-2.794,82.834
0.0038,-2.849,243.343
0.00384,-2.849,173.457
0.00388,-2.797,9.01
0.00392,-2.782,182.719
0.00396,-2.721,32.128
0.004,-2.431,-253.048
0.00404,-1.253,-277.447
0.00408,2.147,-333.326
0.00412,7.652,-367.659
0.00416,14.543,-300.946
0.0042,23.091,-323.484
0.00424,32.705,-175.715
0.00428,40.462,-132.334
0.00432,44.103,-103.128
0.00436,42.757,-33.989
0.0044,37.346,-32.235
0.00444,28.832,7.744
0.00448,19.991,-32.54
0.00452,12.828,-54.131
0.00456,6.844,-169.596
0.0046,2.849,-234.691
0.00464,0.038,-298.688
0.00468,-1.894,-329.267
0.00472,-2.94,-338.453
0.00476,-2.98,-317.716
0.0048,-2.962,-318.921
0.00484,-2.928,-352.094
0.00488,-2.913,-417.418
0.00492,-2.901,-465.225
0.00496,-2.885,-434.646
0.005,-2.882,-431.426
