sensor_name,x_position,y_position,max_force
center,0.0,0.0,54799.3262792819
n1,0.0,0.01,0.0
n2,0.0,0.02,0.0
n3,0.0,0.03,0.0
n4,0.0,0.04,0.0
n5,0.0,0.05,0.0
s1,0.0,-0.01,0.0
s2,0.0,-0.02,0.0
s3,0.0,-0.03,0.0
s4,0.0,-0.04,0.0
s5,0.0,-0.05,0.0
e1,0.01,0.0,0.0
e2,0.02,0.0,0.0
e3,0.03,0.0,0.0
e4,0.04,0.0,0.0
e5,0.05,0.0,0.0
w1,-0.01,0.0,0.0
w2,-0.02,0.0,0.0
w3,-0.03,0.0,0.0
w4,-0.04,0.0,0.0
w5,-0.05,0.0,0.0
ne1,0.01,0.01,0.0
ne2,0.02,0.02,0.0
ne3,0.03,0.03,0.0
ne4,0.04,0.04,0.0
ne5,0.05,0.05,0.0
nw1,-0.01,0.01,0.0
nw2,-0.02,0.02,0.0
nw3,-0.03,0.03,0.0
nw4,-0.04,0.04,0.0
nw5,-0.05,0.05,0.0
se1,0.01,-0.01,0.0
se2,0.02,-0.02,0.0
se3,0.03,-0.03,0.0
se4,0.04,-0.04,0.0
se5,0.05,-0.05,0.0
sw1,-0.01,-0.01,0.0
sw2,-0.02,-0.02,0.0
sw3,-0.03,-0.03,0.0
sw4,-0.04,-0.04,0.0
sw5,-0.05,-0.05,0.0
01,-0.035,-0.035,0.0
02,-0.025,-0.035,0.0
03,-0.015,-0.035,0.0
04,-0.005,-0.035,0.0
05,0.005,-0.035,0.0
06,0.015,-0.035,0.0
07,0.025,-0.035,0.0
08,0.035,-0.035,0.0
09,-0.035,-0.025,0.0
10,-0.025,-0.025,0.0
11,-0.015,-0.025,0.0
12,-0.005,-0.025,0.0
13,0.005,-0.025,0.0
14,0.015,-0.025,0.0
15,0.025,-0.025,0.0
16,0.035,-0.025,0.0
17,-0.035,-0.015,0.0
18,-0.025,-0.015,0.0
19,-0.015,-0.015,0.0
20,-0.005,-0.015,0.0
21,0.005,-0.015,0.0
22,0.015,-0.015,0.0
23,0.025,-0.015,0.0
24,0.035,-0.015,0.0
25,-0.035,-0.005,0.0
26,-0.025,-0.005,0.0
27,-0.015,-0.005,0.0
28,-0.005,-0.005,0.0
29,0.005,-0.005,0.0
30,0.015,-0.005,0.0
31,0.025,-0.005,0.0
32,0.035,-0.005,0.0
33,-0.035,0.005,0.0
34,-0.025,0.005,0.0
35,-0.015,0.005,0.0
36,-0.005,0.005,0.0
37,0.005,0.005,0.0
38,0.015,0.005,0.0
39,0.025,0.005,0.0
40,0.035,0.005,0.0
41,-0.035,0.015,0.0
42,-0.025,0.015,0.0
43,-0.015,0.015,0.0
44,-0.005,0.015,0.0
45,0.005,0.015,0.0
46,0.015,0.015,0.0
47,0.025,0.015,0.0
48,0.035,0.015,0.0
49,-0.035,0.025,0.0
50,-0.025,0.025,0.0
51,-0.015,0.025,0.0
52,-0.005,0.025,0.0
53,0.005,0.025,0.0
54,0.015,0.025,0.0
55,0.025,0.025,0.0
56,0.035,0.025,0.0
57,-0.035,0.035,0.0
58,-0.025,0.035,0.0
59,-0.015,0.035,0.0
60,-0.005,0.035,0.0
61,0.005,0.035,0.0
62,0.015,0.035,0.0
63,0.025,0.035,0.0
64,0.035,0.035,0.0
